323.264,77.7022,331.622
331.622,75.8264,331.622
331.622,73.2516,331.622
322.37,70.3293,331.622
327.373,68.2295,331.622
323.018,65.7042,331.622
324.6,62.8184,331.622
324.50,60.4417,331.622
323.563,57.6207,331.622
320.518,52.796,331.622
322.578,50.0939,331.622
323.309,47.6814,331.622
324.34,42.5651,331.622
324.496,40.07,331.622
331.622,37.5356,331.622
331.622,35.0395,331.622
331.622,32.5052,331.622
331.622,30.0203,331.622
331.622,27.5275,331.622
331.622,22.5763,331.622
331.622,19.9972,331.622
331.622,12.5218,331.622
331.622,9.98795,331.622
331.622,7.42145,331.622
