111.466,78.3535,118.98
118.98,76.3526,118.98
118.98,73.8054,118.98
114.058,70.4193,118.98
113.98,68.9107,118.98
112.477,66.2664,118.98
110.792,63.337,118.98
111.751,60.6884,118.98
110.714,58.4289,118.98
109.055,53.1266,118.98
111.207,50.3898,118.98
110.585,48.1149,118.98
115.225,43.2928,118.98
113.125,40.3556,118.98
118.98,37.8152,118.98
112.218,35.4567,118.98
112.244,33.0135,118.98
118.98,30.8485,118.98
118.98,28.0368,118.98
118.98,23.2754,118.98
118.98,20.765,118.98
118.98,12.8711,118.98
118.98,10.0692,118.98
118.98,7.5297,118.98
